Joggler,Giduz_Path,Giduz_Number,Nationality,Gender
Nick Burns,No Connection to Bill Giduz,inf,GBR,M
Michael-Lucien Bergeron,No Connection to Bill Giduz,inf,CAN,M
EJ Coldham,No Connection to Bill Giduz,inf,GBR,F
JL Coldham,No Connection to Bill Giduz,inf,GBR,M
Ralph Kidner,No Connection to Bill Giduz,inf,GBR,M
John Baker,No Connection to Bill Giduz,inf,USA,M
Peter Meyer,No Connection to Bill Giduz,inf,DEU,M
Ivan Schleppenbach,No Connection to Bill Giduz,inf,USA,M
Nigel Wakita,No Connection to Bill Giduz,inf,CAN,M
Sterling Franklin,No Connection to Bill Giduz,inf,USA,M
Graydon Snider,No Connection to Bill Giduz,inf,CAN,M
Chris Pert,No Connection to Bill Giduz,inf,USA,M
Paul-Erik Lillholm,No Connection to Bill Giduz,inf,NOR,M
Scott Gorman,No Connection to Bill Giduz,inf,USA,M
Bradley Fiander,No Connection to Bill Giduz,inf,CAN,M
Zach Prescott,No Connection to Bill Giduz,inf,USA,M
Jorge Vilchis,No Connection to Bill Giduz,inf,MEX,M
Kevin Williams,No Connection to Bill Giduz,inf,GBR,M
David Quint,No Connection to Bill Giduz,inf,USA,M
Mirek Urban,No Connection to Bill Giduz,inf,POL,M
Will Howard,No Connection to Bill Giduz,inf,USA,M
Nathan Agnew,No Connection to Bill Giduz,inf,GBR,M
Dana Giuglielmo,No Connection to Bill Giduz,inf,USA,F
Jonas Eberlein,No Connection to Bill Giduz,inf,DEU,M
Travis Saunders,No Connection to Bill Giduz,inf,CAN,M
Ingbert Bittel,No Connection to Bill Giduz,inf,DEU,M
Emily Beaver,No Connection to Bill Giduz,inf,USA,F
Riley McLincha,No Connection to Bill Giduz,inf,USA,M
Matthew Feldman,No Connection to Bill Giduz,inf,USA,M
Tom Gounley,No Connection to Bill Giduz,inf,USA,M
Steve Portwine,No Connection to Bill Giduz,inf,GBR,M
Colin Francome,No Connection to Bill Giduz,inf,GBR,M
Dean Radcliffe,No Connection to Bill Giduz,inf,USA,M
Brian Linehan,No Connection to Bill Giduz,inf,IRL,M
Ashrita Furman,No Connection to Bill Giduz,inf,USA,M
Pete Barnard,No Connection to Bill Giduz,inf,GBR,M
Henry Wellenstein,No Connection to Bill Giduz,inf,USA,M
Gavin Levenstein,No Connection to Bill Giduz,inf,ZAF,M
Jeff Civillico,No Connection to Bill Giduz,inf,USA,M
Jordan Evans,No Connection to Bill Giduz,inf,GBR,M
Dominic Lodge,No Connection to Bill Giduz,inf,GBR,M
Brady Xue,No Connection to Bill Giduz,inf,USA,M
