2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
6:09.88,8:40.87,9:29.19,9:19.49,14:56.14,31:24.66,1171
6:10.09,8:41.16,9:29.59,9:19.80,14:56.66,31:25.78,1170
6:10.31,8:41.45,9:30.00,9:20.12,14:57.17,31:26.90,1169
6:10.53,8:41.74,9:30.40,9:20.43,14:57.69,31:28.02,1168
6:10.75,8:42.03,9:30.80,9:20.75,14:58.20,31:29.14,1167
6:10.97,8:42.33,9:31.20,9:21.06,14:58.72,31:30.25,1166
6:11.18,8:42.62,9:31.61,9:21.38,14:59.23,31:31.37,1165
6:11.40,8:42.91,9:32.01,9:21.69,14:59.75,31:32.49,1164
6:11.62,8:43.20,9:32.41,9:22.01,15:00.26,31:33.61,1163
6:11.84,8:43.49,9:32.81,9:22.33,15:00.78,31:34.73,1162
6:12.06,8:43.78,9:33.22,9:22.64,15:01.30,31:35.86,1161
6:12.28,8:44.07,9:33.62,9:22.96,15:01.81,31:36.98,1160
6:12.50,8:44.36,9:34.03,9:23.27,15:02.33,31:38.10,1159
6:12.71,8:44.65,9:34.43,9:23.59,15:02.84,31:39.22,1158
6:12.93,8:44.95,9:34.83,9:23.91,15:03.36,31:40.35,1157
6:13.15,8:45.24,9:35.24,9:24.22,15:03.88,31:41.47,1156
6:13.37,8:45.53,9:35.64,9:24.54,15:04.40,31:42.59,1155
6:13.59,8:45.82,9:36.05,9:24.86,15:04.91,31:43.72,1154
6:13.81,8:46.11,9:36.45,9:25.17,15:05.43,31:44.84,1153
6:14.03,8:46.41,9:36.86,9:25.49,15:05.95,31:45.97,1152
6:14.25,8:46.70,9:37.26,9:25.81,15:06.47,31:47.09,1151
6:14.47,8:46.99,9:37.67,9:26.13,15:06.99,31:48.22,1150
6:14.69,8:47.28,9:38.07,9:26.44,15:07.51,31:49.35,1149
6:14.91,8:47.58,9:38.48,9:26.76,15:08.03,31:50.48,1148
6:15.13,8:47.87,9:38.88,9:27.08,15:08.54,31:51.60,1147
6:15.35,8:48.16,9:39.29,9:27.40,15:09.06,31:52.73,1146
6:15.57,8:48.46,9:39.70,9:27.71,15:09.58,31:53.86,1145
6:15.79,8:48.75,9:40.10,9:28.03,15:10.10,31:54.99,1144
6:16.01,8:49.04,9:40.51,9:28.35,15:10.62,31:56.12,1143
6:16.23,8:49.34,9:40.91,9:28.67,15:11.14,31:57.25,1142
6:16.45,8:49.63,9:41.32,9:28.99,15:11.66,31:58.38,1141
6:16.67,8:49.92,9:41.73,9:29.31,15:12.19,31:59.51,1140
6:16.89,8:50.22,9:42.14,9:29.63,15:12.71,32:00.65,1139
6:17.11,8:50.51,9:42.54,9:29.94,15:13.23,32:01.78,1138
6:17.34,8:50.81,9:42.95,9:30.26,15:13.75,32:02.91,1137
6:17.56,8:51.10,9:43.36,9:30.58,15:14.27,32:04.05,1136
