100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
,13.18,,31.39,44.44,48.24,38.09,1:20.00,2:58.26,1219
,13.19,20.01,31.40,44.46,48.26,38.10,1:20.03,2:58.32,1218
9.97,,20.02,31.41,44.47,48.28,38.12,1:20.05,2:58.39,1217
,13.20,,31.42,44.48,48.30,38.13,1:20.08,2:58.45,1216
,,20.03,31.43,44.50,48.32,38.14,1:20.11,2:58.51,1215
,13.21,20.04,31.44,44.51,48.34,38.15,1:20.13,2:58.58,1214
9.98,,,31.45,44.53,48.36,38.17,1:20.16,2:58.64,1213
,13.22,20.05,31.46,44.54,48.38,38.18,1:20.19,2:58.71,1212
,,20.06,31.47,44.56,48.40,38.19,1:20.21,2:58.77,1211
9.99,13.23,,31.48,44.57,48.42,38.21,1:20.24,2:58.83,1210
,,20.07,31.49,44.58,48.44,38.22,1:20.26,2:58.90,1209
,13.24,,31.50,44.60,48.46,38.23,1:20.29,2:58.96,1208
,,20.08,31.51,44.61,48.48,38.25,1:20.32,2:59.03,1207
10.00,13.25,20.09,31.52,44.63,48.50,38.26,1:20.34,2:59.09,1206
,,,31.53,44.64,48.52,38.27,1:20.37,2:59.16,1205
,13.26,20.10,31.54,44.65,48.54,38.28,1:20.40,2:59.22,1204
10.01,,20.11,31.56,44.67,48.56,38.30,1:20.42,2:59.28,1203
,13.27,,31.57,44.68,48.58,38.31,1:20.45,2:59.35,1202
,,20.12,31.58,44.70,48.59,38.32,1:20.48,2:59.41,1201
,13.28,20.13,31.59,44.71,48.61,38.34,1:20.50,2:59.48,1200
10.02,,,31.60,44.73,48.63,38.35,1:20.53,2:59.54,1199
,13.29,20.14,31.61,44.74,48.65,38.36,1:20.56,2:59.61,1198
,,,31.62,44.75,48.67,38.38,1:20.58,2:59.67,1197
10.03,13.30,20.15,31.63,44.77,48.69,38.39,1:20.61,2:59.73,1196
,,20.16,31.64,44.78,48.71,38.40,1:20.63,2:59.80,1195
,13.31,,31.65,44.80,48.73,38.41,1:20.66,2:59.86,1194
10.04,13.32,20.17,31.66,44.81,48.75,38.43,1:20.69,2:59.93,1193
,,20.18,31.67,44.83,48.77,38.44,1:20.71,2:59.99,1192
,13.33,,31.68,44.84,48.79,38.45,1:20.74,3:00.06,1191
,,20.19,31.69,44.86,48.81,38.47,1:20.77,3:00.12,1190
10.05,13.34,20.20,31.71,44.87,48.83,38.48,1:20.79,3:00.19,1189
,,,31.72,44.88,48.85,38.49,1:20.82,3:00.25,1188
,13.35,20.21,31.73,44.90,48.87,38.51,1:20.85,3:00.32,1187
10.06,,20.22,31.74,44.91,48.89,38.52,1:20.87,3:00.38,1186
,13.36,,31.75,44.93,48.91,38.53,1:20.90,3:00.45,1185
,,20.23,31.76,44.94,48.93,38.54,1:20.93,3:00.51,1184
,13.37,,31.77,44.96,48.95,38.56,1:20.95,3:00.58,1183
10.07,,20.24,31.78,44.97,48.97,38.57,1:20.98,3:00.64,1182
,13.38,20.25,31.79,44.98,48.99,38.58,1:21.01,3:00.71,1181
,,,31.80,45.00,49.01,38.60,1:21.03,3:00.77,1180
10.08,13.39,20.26,31.81,45.01,49.03,38.61,1:21.06,3:00.83,1179
,,20.27,31.82,45.03,49.05,38.62,1:21.09,3:00.90,1178
,13.40,,31.83,45.04,49.07,38.64,1:21.11,3:00.96,1177
10.09,,20.28,31.84,45.06,49.09,38.65,1:21.14,3:01.03,1176
,13.41,20.29,31.86,45.07,49.11,38.66,1:21.17,3:01.09,1175
,13.42,,31.87,45.09,49.12,38.68,1:21.19,3:01.16,1174
,,20.30,31.88,45.10,49.14,38.69,1:21.22,3:01.23,1173
10.10,13.43,20.31,31.89,45.11,49.16,38.70,1:21.25,3:01.29,1172
,,,31.90,45.13,49.18,38.71,1:21.27,3:01.36,1171
,13.44,20.32,31.91,45.14,49.20,38.73,1:21.30,3:01.42,1170
10.11,,20.33,31.92,45.16,49.22,38.74,1:21.33,3:01.49,1169
,13.45,,31.93,45.17,49.24,38.75,1:21.35,3:01.55,1168
,,20.34,31.94,45.19,49.26,38.77,1:21.38,3:01.62,1167
,13.46,,31.95,45.20,49.28,38.78,1:21.41,3:01.68,1166
10.12,,20.35,31.96,45.22,49.30,38.79,1:21.44,3:01.75,1165
,13.47,20.36,31.97,45.23,49.32,38.81,1:21.46,3:01.81,1164
,,,31.99,45.24,49.34,38.82,1:21.49,3:01.88,1163
10.13,13.48,20.37,32.00,45.26,49.36,38.83,1:21.52,3:01.94,1162
,,20.38,32.01,45.27,49.38,38.85,1:21.54,3:02.01,1161
,13.49,,32.02,45.29,49.40,38.86,1:21.57,3:02.07,1160
10.14,,20.39,32.03,45.30,49.42,38.87,1:21.60,3:02.14,1159
,13.50,20.40,32.04,45.32,49.44,38.89,1:21.62,3:02.21,1158
,,,32.05,45.33,49.46,38.90,1:21.65,3:02.27,1157
,13.51,20.41,32.06,45.35,49.48,38.91,1:21.68,3:02.34,1156
10.15,13.52,20.42,32.07,45.36,49.50,38.93,1:21.70,3:02.40,1155
