2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
5:09.74,7:27.58,8:00.76,8:02.28,12:47.86,26:42.40,1255
5:09.88,7:27.74,8:00.97,8:02.45,12:48.13,26:43.02,1254
5:10.02,7:27.90,8:01.19,8:02.61,12:48.40,26:43.64,1253
5:10.16,7:28.05,8:01.40,8:02.78,12:48.67,26:44.25,1252
5:10.30,7:28.21,8:01.62,8:02.95,12:48.93,26:44.87,1251
5:10.44,7:28.36,8:01.83,8:03.12,12:49.20,26:45.49,1250
5:10.58,7:28.52,8:02.05,8:03.29,12:49.47,26:46.11,1249
5:10.72,7:28.68,8:02.26,8:03.46,12:49.74,26:46.73,1248
5:10.86,7:28.84,8:02.48,8:03.63,12:50.01,26:47.34,1247
5:11.00,7:28.99,8:02.69,8:03.80,12:50.28,26:47.96,1246
5:11.14,7:29.15,8:02.91,8:03.96,12:50.54,26:48.58,1245
5:11.28,7:29.31,8:03.12,8:04.13,12:50.81,26:49.20,1244
5:11.42,7:29.46,8:03.34,8:04.30,12:51.08,26:49.82,1243
5:11.56,7:29.62,8:03.56,8:04.47,12:51.35,26:50.44,1242
5:11.70,7:29.78,8:03.77,8:04.64,12:51.62,26:51.06,1241
5:11.84,7:29.93,8:03.99,8:04.81,12:51.89,26:51.68,1240
5:11.98,7:30.09,8:04.20,8:04.98,12:52.16,26:52.30,1239
5:12.12,7:30.25,8:04.42,8:05.15,12:52.43,26:52.92,1238
5:12.26,7:30.41,8:04.64,8:05.32,12:52.70,26:53.54,1237
5:12.40,7:30.56,8:04.85,8:05.49,12:52.97,26:54.16,1236
5:12.54,7:30.72,8:05.07,8:05.66,12:53.24,26:54.78,1235
5:12.68,7:30.88,8:05.29,8:05.83,12:53.51,26:55.41,1234
5:12.82,7:31.04,8:05.50,8:06.00,12:53.78,26:56.03,1233
5:12.96,7:31.19,8:05.72,8:06.17,12:54.05,26:56.65,1232
5:13.11,7:31.35,8:05.94,8:06.34,12:54.32,26:57.27,1231
5:13.25,7:31.51,8:06.15,8:06.51,12:54.59,26:57.90,1230
5:13.39,7:31.67,8:06.37,8:06.68,12:54.86,26:58.52,1229
5:13.53,7:31.83,8:06.59,8:06.85,12:55.13,26:59.14,1228
5:13.67,7:31.98,8:06.81,8:07.02,12:55.40,26:59.77,1227
5:13.81,7:32.14,8:07.02,8:07.19,12:55.67,27:00.39,1226
5:13.95,7:32.30,8:07.24,8:07.36,12:55.94,27:01.01,1225
5:14.09,7:32.46,8:07.46,8:07.53,12:56.21,27:01.64,1224
5:14.23,7:32.62,8:07.68,8:07.70,12:56.49,27:02.26,1223
5:14.38,7:32.78,8:07.89,8:07.87,12:56.76,27:02.89,1222
5:14.52,7:32.93,8:08.11,8:08.04,12:57.03,27:03.51,1221
5:14.66,7:33.09,8:08.33,8:08.21,12:57.30,27:04.14,1220
5:14.80,7:33.25,8:08.55,8:08.38,12:57.57,27:04.76,1219
5:14.94,7:33.41,8:08.76,8:08.55,12:57.84,27:05.39,1218
5:15.08,7:33.57,8:08.98,8:08.72,12:58.12,27:06.01,1217
5:15.23,7:33.73,8:09.20,8:08.89,12:58.39,27:06.64,1216
5:15.37,7:33.89,8:09.42,8:09.07,12:58.66,27:07.27,1215
5:15.51,7:34.05,8:09.64,8:09.24,12:58.93,27:07.89,1214
5:15.65,7:34.20,8:09.86,8:09.41,12:59.20,27:08.52,1213
5:15.79,7:34.36,8:10.07,8:09.58,12:59.48,27:09.15,1212
5:15.93,7:34.52,8:10.29,8:09.75,12:59.75,27:09.78,1211
5:16.08,7:34.68,8:10.51,8:09.92,13:00.02,27:10.40,1210
5:16.22,7:34.84,8:10.73,8:10.09,13:00.29,27:11.03,1209
5:16.36,7:35.00,8:10.95,8:10.27,13:00.57,27:11.66,1208
5:16.50,7:35.16,8:11.17,8:10.44,13:00.84,27:12.29,1207
5:16.65,7:35.32,8:11.39,8:10.61,13:01.11,27:12.92,1206
5:16.79,7:35.48,8:11.61,8:10.78,13:01.39,27:13.55,1205
5:16.93,7:35.64,8:11.83,8:10.95,13:01.66,27:14.18,1204
5:17.07,7:35.80,8:12.05,8:11.12,13:01.93,27:14.80,1203
5:17.22,7:35.96,8:12.27,8:11.30,13:02.21,27:15.43,1202
5:17.36,7:36.12,8:12.48,8:11.47,13:02.48,27:16.06,1201
5:17.50,7:36.28,8:12.70,8:11.64,13:02.75,27:16.70,1200
5:17.64,7:36.44,8:12.92,8:11.81,13:03.03,27:17.33,1199
5:17.79,7:36.60,8:13.14,8:11.98,13:03.30,27:17.96,1198
5:17.93,7:36.76,8:13.36,8:12.16,13:03.58,27:18.59,1197
5:18.07,7:36.92,8:13.58,8:12.33,13:03.85,27:19.22,1196
5:18.22,7:37.08,8:13.80,8:12.50,13:04.12,27:19.85,1195
5:18.36,7:37.24,8:14.02,8:12.67,13:04.40,27:20.48,1194
5:18.50,7:37.40,8:14.24,8:12.85,13:04.67,27:21.12,1193
5:18.64,7:37.56,8:14.47,8:13.02,13:04.95,27:21.75,1192
5:18.79,7:37.72,8:14.69,8:13.19,13:05.22,27:22.38,1191
5:18.93,7:37.88,8:14.91,8:13.37,13:05.50,27:23.01,1190
5:19.07,7:38.04,8:15.13,8:13.54,13:05.77,27:23.65,1189
5:19.22,7:38.20,8:15.35,8:13.71,13:06.05,27:24.28,1188
5:19.36,7:38.36,8:15.57,8:13.88,13:06.32,27:24.91,1187
5:19.50,7:38.52,8:15.79,8:14.06,13:06.60,27:25.55,1186
5:19.65,7:38.68,8:16.01,8:14.23,13:06.87,27:26.18,1185
5:19.79,7:38.84,8:16.23,8:14.40,13:07.15,27:26.82,1184
5:19.94,7:39.01,8:16.45,8:14.58,13:07.43,27:27.45,1183
5:20.08,7:39.17,8:16.67,8:14.75,13:07.70,27:28.09,1182
5:20.22,7:39.33,8:16.90,8:14.92,13:07.98,27:28.72,1181
5:20.37,7:39.49,8:17.12,8:15.10,13:08.25,27:29.36,1180
5:20.51,7:39.65,8:17.34,8:15.27,13:08.53,27:29.99,1179
5:20.66,7:39.81,8:17.56,8:15.44,13:08.81,27:30.63,1178
5:20.80,7:39.97,8:17.78,8:15.62,13:09.08,27:31.27,1177
5:20.94,7:40.13,8:18.00,8:15.79,13:09.36,27:31.90,1176
5:21.09,7:40.30,8:18.23,8:15.97,13:09.64,27:32.54,1175
5:21.23,7:40.46,8:18.45,8:16.14,13:09.91,27:33.18,1174
5:21.38,7:40.62,8:18.67,8:16.31,13:10.19,27:33.82,1173
5:21.52,7:40.78,8:18.89,8:16.49,13:10.47,27:34.45,1172
5:21.66,7:40.94,8:19.11,8:16.66,13:10.74,27:35.09,1171
5:21.81,7:41.10,8:19.34,8:16.84,13:11.02,27:35.73,1170
5:21.95,7:41.27,8:19.56,8:17.01,13:11.30,27:36.37,1169
5:22.10,7:41.43,8:19.78,8:17.19,13:11.58,27:37.01,1168
5:22.24,7:41.59,8:20.01,8:17.36,13:11.85,27:37.65,1167
5:22.39,7:41.75,8:20.23,8:17.54,13:12.13,27:38.29,1166
5:22.53,7:41.91,8:20.45,8:17.71,13:12.41,27:38.93,1165
5:22.68,7:42.08,8:20.67,8:17.88,13:12.69,27:39.57,1164
5:22.82,7:42.24,8:20.90,8:18.06,13:12.97,27:40.21,1163
5:22.97,7:42.40,8:21.12,8:18.23,13:13.24,27:40.85,1162
5:23.11,7:42.56,8:21.34,8:18.41,13:13.52,27:41.49,1161
5:23.26,7:42.73,8:21.57,8:18.58,13:13.80,27:42.13,1160
5:23.40,7:42.89,8:21.79,8:18.76,13:14.08,27:42.77,1159
5:23.55,7:43.05,8:22.01,8:18.93,13:14.36,27:43.41,1158
5:23.69,7:43.21,8:22.24,8:19.11,13:14.64,27:44.06,1157
5:23.84,7:43.38,8:22.46,8:19.29,13:14.92,27:44.70,1156
5:23.98,7:43.54,8:22.69,8:19.46,13:15.20,27:45.34,1155
5:24.13,7:43.70,8:22.91,8:19.64,13:15.47,27:45.98,1154
5:24.28,7:43.87,8:23.13,8:19.81,13:15.75,27:46.63,1153
5:24.42,7:44.03,8:23.36,8:19.99,13:16.03,27:47.27,1152
5:24.57,7:44.19,8:23.58,8:20.16,13:16.31,27:47.91,1151
5:24.71,7:44.36,8:23.81,8:20.34,13:16.59,27:48.56,1150
5:24.86,7:44.52,8:24.03,8:20.51,13:16.87,27:49.20,1149
5:25.00,7:44.68,8:24.26,8:20.69,13:17.15,27:49.85,1148
5:25.15,7:44.85,8:24.48,8:20.87,13:17.43,27:50.49,1147
5:25.30,7:45.01,8:24.71,8:21.04,13:17.71,27:51.14,1146
5:25.44,7:45.17,8:24.93,8:21.22,13:17.99,27:51.78,1145
5:25.59,7:45.34,8:25.15,8:21.40,13:18.27,27:52.43,1144
5:25.73,7:45.50,8:25.38,8:21.57,13:18.55,27:53.07,1143
5:25.88,7:45.67,8:25.61,8:21.75,13:18.83,27:53.72,1142
5:26.03,7:45.83,8:25.83,8:21.92,13:19.12,27:54.37,1141
5:26.17,7:45.99,8:26.06,8:22.10,13:19.40,27:55.01,1140
5:26.32,7:46.16,8:26.28,8:22.28,13:19.68,27:55.66,1139
5:26.47,7:46.32,8:26.51,8:22.45,13:19.96,27:56.31,1138
5:26.61,7:46.49,8:26.73,8:22.63,13:20.24,27:56.95,1137
5:26.76,7:46.65,8:26.96,8:22.81,13:20.52,27:57.60,1136
5:26.91,7:46.81,8:27.18,8:22.99,13:20.80,27:58.25,1135
5:27.05,7:46.98,8:27.41,8:23.16,13:21.08,27:58.90,1134
5:27.20,7:47.14,8:27.64,8:23.34,13:21.37,27:59.55,1133
5:27.35,7:47.31,8:27.86,8:23.52,13:21.65,28:00.20,1132
5:27.49,7:47.47,8:28.09,8:23.69,13:21.93,28:00.85,1131
5:27.64,7:47.64,8:28.31,8:23.87,13:22.21,28:01.50,1130
5:27.79,7:47.80,8:28.54,8:24.05,13:22.49,28:02.15,1129
5:27.93,7:47.97,8:28.77,8:24.23,13:22.78,28:02.80,1128
5:28.08,7:48.13,8:28.99,8:24.40,13:23.06,28:03.45,1127
5:28.23,7:48.30,8:29.22,8:24.58,13:23.34,28:04.10,1126
5:28.38,7:48.46,8:29.45,8:24.76,13:23.62,28:04.75,1125
5:28.52,7:48.63,8:29.68,8:24.94,13:23.91,28:05.40,1124
5:28.67,7:48.79,8:29.90,8:25.12,13:24.19,28:06.05,1123
5:28.82,7:48.96,8:30.13,8:25.29,13:24.47,28:06.70,1122
5:28.97,7:49.12,8:30.36,8:25.47,13:24.76,28:07.36,1121
