Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
135,0:00:17.40,0,Paul Williamson,M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
136,0:00:17.47,0,Christoph Mitasch,M,Unknown,2022,"IJA, Virtual",IJA Database
137,0:00:17.50,0,Corey Connors,M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
137,0:00:17.50,0,Nathan Lane,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
137,0:00:17.50,0,Aaron Olson,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
140,0:00:17.53,0,Lars Rohrback,M,Unknown,20/07/1985,"IJA, Atlanta",http://www.juggling.org/orgs/ija/champs.txt
141,0:00:17.63,0,Jack Hirschowitz,M,USA,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
142,0:00:17.97,0,Neil Jordan,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
143,0:00:17.99,0,Jean-Guy Beaudry,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
144,0:00:18.00,0,Brent Beebe,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
144,0:00:18.00,0,Sam Karschnia,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
146,0:00:18.10,0,Scott Anthony,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
146,0:00:18.10,0,Jake Immerman,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
148,0:00:18.14,0,Caleb Black,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
149,0:00:18.20,0,Daniel Margulis,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
149,0:00:18.20,0,Craig Muhlenkamp,M,USA,2020,"IJA, Virtual",IJA Database
151,0:00:18.30,0,Tucker Weisman,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
151,0:00:18.30,0,Robert Sandberg,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
153,0:00:18.47,0,Kevin Beargie,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
154,0:00:18.66,0,Aaron Rosenberg,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
155,0:00:18.70,0,Sasha Kluger,M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
155,0:00:18.70,0,Dan Fitzgerald,M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
157,0:00:18.80,0,Nick Hiniker,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
157,0:00:18.80,0,Greg Meehan,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
157,0:00:18.80,0,John Kilgust,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
160,0:00:18.90,0,Justin Kolas,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
160,0:00:18.90,0,Scott Dudek,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
160,0:00:18.90,0,Chuck Ritzler,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
163,0:00:18.99,0,Peter Hedberg,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
163,0:00:18.99,0,Kyle Hahn,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
165,0:00:19.13,0,James Auriemma,M,Unknown,2022,"IJA, Virtual",IJA Database
166,0:00:19.16,0,Mark Furniss,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
167,0:00:19.20,0,Samuel Karschnia,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
167,0:00:19.20,0,Larry Boehmer,M,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
169,0:00:19.29,0,Daniel Eaker,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
170,0:00:19.35,0,Danny Hodge,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
171,0:00:19.42,0,Joshua Black,M,Unknown,2020,"IJA, Virtual",IJA Database
172,0:00:19.52,0,Daniel Hout,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
173,0:00:19.69,0,Brendan McGreal,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
174,0:00:19.70,0,Erick Mori-Quimper,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
174,0:00:19.70,0,Bryan Nguyen,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
176,0:00:19.78,0,Izaak Jolin,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
177,0:00:19.90,0,Adam Griffin,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
178,0:00:19.99,0,Ely Doan,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
178,0:00:19.99,0,Daniel Van Hoomissen,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
178,0:00:19.99,0,Nick Deboom,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
181,0:00:20.00,0,Colin Kulstad,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
181,0:00:20.00,0,Jonny Langholz,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
181,0:00:20.00,0,Mike Draney,M,Unknown,20/07/1985,"IJA, Atlanta",http://www.juggling.org/orgs/ija/champs.txt
184,0:00:20.10,0,Nick Eaton,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
185,0:00:20.16,0,Mike Patsch,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
185,0:00:20.16,0,Johan DuHoffman,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
187,0:00:20.28,0,Rain Pierce,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
188,0:00:20.30,0,Roy Fisher,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
189,0:00:20.47,0,Phillip Garee,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
190,0:00:20.50,0,Carlos Nieves,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
190,0:00:20.50,0,Adam Eckman,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
192,0:00:20.60,0,Paul Ballard,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
193,0:00:20.66,0,Ryan Paul,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
194,0:00:20.87,0,Peter Brunette,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
195,0:00:20.90,0,Joseph Hout,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
196,0:00:20.93,0,Matt Bagley,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
197,0:00:21.00,0,Valentin Bolognini,M,Unknown,2021,IJA Virtual,IJA Database
197,0:00:21.00,0,Nathan Wakefield,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
199,0:00:21.10,0,Joel Hilchey,M,Unknown,2021,IJA Virtual,IJA Database
200,0:00:21.16,0,Torsten Hornemann,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
201,0:00:21.19,0,Nicholas Tackis,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
202,0:00:21.20,0,Jamie Cordes,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
203,0:00:21.25,0,Jacob Biesiada,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
