10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km,Points
31:17,47:39,51:17,1:04:16,1:07:54,1:21:35,1:39:17,2:23:30,6:42:56,1198
31:18,47:41,51:19,1:04:19,1:07:56,1:21:38,1:39:21,2:23:36,6:43:12,1197
31:19,47:42,51:20,1:04:21,1:07:59,1:21:41,1:39:24,2:23:42,6:43:27,1196
31:20,47:44,51:22,1:04:23,1:08:01,1:21:44,1:39:28,2:23:48,6:43:43,1195
31:21,47:46,51:24,1:04:25,1:08:04,1:21:47,1:39:32,2:23:54,6:43:58,1194
31:23,47:47,51:26,1:04:28,1:08:06,1:21:50,1:39:36,2:24:00,6:44:14,1193
31:24,47:49,51:28,1:04:30,1:08:09,1:21:53,1:39:40,2:24:05,6:44:29,1192
31:25,47:51,51:30,1:04:32,1:08:11,1:21:56,1:39:44,2:24:11,6:44:45,1191
31:26,47:53,51:31,1:04:35,1:08:13,1:21:59,1:39:47,2:24:17,6:45:00,1190
31:27,47:54,51:33,1:04:37,1:08:16,1:22:02,1:39:51,2:24:23,6:45:16,1189
31:28,47:56,51:35,1:04:39,1:08:18,1:22:05,1:39:55,2:24:29,6:45:31,1188
31:29,47:58,51:37,1:04:42,1:08:21,1:22:08,1:39:59,2:24:35,6:45:47,1187
31:30,47:59,51:39,1:04:44,1:08:23,1:22:11,1:40:03,2:24:41,6:46:02,1186
31:31,48:01,51:41,1:04:46,1:08:26,1:22:14,1:40:07,2:24:47,6:46:18,1185
31:32,48:03,51:42,1:04:49,1:08:28,1:22:17,1:40:10,2:24:53,6:46:33,1184
31:34,48:04,51:44,1:04:51,1:08:30,1:22:20,1:40:14,2:24:59,6:46:49,1183
31:35,48:06,51:46,1:04:53,1:08:33,1:22:23,1:40:18,2:25:05,6:47:04,1182
31:36,48:08,51:48,1:04:55,1:08:35,1:22:26,1:40:22,2:25:11,6:47:20,1181
31:37,48:10,51:50,1:04:58,1:08:38,1:22:29,1:40:26,2:25:17,6:47:36,1180
31:38,48:11,51:51,1:05:00,1:08:40,1:22:32,1:40:30,2:25:23,6:47:51,1179
31:39,48:13,51:53,1:05:02,1:08:43,1:22:36,1:40:34,2:25:29,6:48:07,1178
31:40,48:15,51:55,1:05:05,1:08:45,1:22:39,1:40:37,2:25:35,6:48:22,1177
31:41,48:16,51:57,1:05:07,1:08:48,1:22:42,1:40:41,2:25:41,6:48:38,1176
31:42,48:18,51:59,1:05:09,1:08:50,1:22:45,1:40:45,2:25:47,6:48:54,1175
31:43,48:20,52:01,1:05:12,1:08:53,1:22:48,1:40:49,2:25:53,6:49:09,1174
31:45,48:21,52:03,1:05:14,1:08:55,1:22:51,1:40:53,2:25:59,6:49:25,1173
31:46,48:23,52:04,1:05:16,1:08:57,1:22:54,1:40:57,2:26:05,6:49:40,1172
31:47,48:25,52:06,1:05:19,1:09:00,1:22:57,1:41:01,2:26:11,6:49:56,1171
31:48,48:27,52:08,1:05:21,1:09:02,1:23:00,1:41:04,2:26:17,6:50:12,1170
31:49,48:28,52:10,1:05:23,1:09:05,1:23:03,1:41:08,2:26:23,6:50:27,1169
31:50,48:30,52:12,1:05:26,1:09:07,1:23:06,1:41:12,2:26:29,6:50:43,1168
31:51,48:32,52:14,1:05:28,1:09:10,1:23:09,1:41:16,2:26:35,6:50:59,1167
31:52,48:33,52:15,1:05:30,1:09:12,1:23:12,1:41:20,2:26:41,6:51:14,1166
31:53,48:35,52:17,1:05:33,1:09:15,1:23:15,1:41:24,2:26:47,6:51:30,1165
31:55,48:37,52:19,1:05:35,1:09:17,1:23:18,1:41:28,2:26:53,6:51:46,1164
31:56,48:39,52:21,1:05:37,1:09:20,1:23:21,1:41:32,2:26:59,6:52:01,1163
31:57,48:40,52:23,1:05:40,1:09:22,1:23:25,1:41:36,2:27:05,6:52:17,1162
31:58,48:42,52:25,1:05:42,1:09:25,1:23:28,1:41:39,2:27:11,6:52:33,1161
31:59,48:44,52:26,1:05:44,1:09:27,1:23:31,1:41:43,2:27:17,6:52:48,1160
32:00,48:45,52:28,1:05:47,1:09:30,1:23:34,1:41:47,2:27:23,6:53:04,1159
32:01,48:47,52:30,1:05:49,1:09:32,1:23:37,1:41:51,2:27:29,6:53:20,1158
32:02,48:49,52:32,1:05:51,1:09:34,1:23:40,1:41:55,2:27:35,6:53:35,1157
32:03,48:51,52:34,1:05:54,1:09:37,1:23:43,1:41:59,2:27:41,6:53:51,1156
32:05,48:52,52:36,1:05:56,1:09:39,1:23:46,1:42:03,2:27:47,6:54:07,1155
32:06,48:54,52:38,1:05:58,1:09:42,1:23:49,1:42:07,2:27:53,6:54:23,1154
32:07,48:56,52:39,1:06:01,1:09:44,1:23:52,1:42:11,2:27:59,6:54:38,1153
32:08,48:57,52:41,1:06:03,1:09:47,1:23:55,1:42:14,2:28:05,6:54:54,1152
32:09,48:59,52:43,1:06:05,1:09:49,1:23:58,1:42:18,2:28:11,6:55:10,1151
32:10,49:01,52:45,1:06:08,1:09:52,1:24:01,1:42:22,2:28:17,6:55:26,1150
32:11,49:03,52:47,1:06:10,1:09:54,1:24:05,1:42:26,2:28:23,6:55:41,1149
32:12,49:04,52:49,1:06:12,1:09:57,1:24:08,1:42:30,2:28:29,6:55:57,1148
32:13,49:06,52:51,1:06:15,1:09:59,1:24:11,1:42:34,2:28:35,6:56:13,1147
32:15,49:08,52:52,1:06:17,1:10:02,1:24:14,1:42:38,2:28:41,6:56:29,1146
