Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1157,72,3b 5km,0:21:18.00,Kacper Suchora,M,POL,19/04/2025,?,https://www.parkrun.pl/mlynowkakrolewska/results/80/
1158,72,3b Half Marathon,1:42:57.00,Tim Ebersole,M,USA,10/09/2023,?,https://www.strava.com/activities/9821889643  https://runsignup.com/Race/Results/15430
1159,71,3b Mile,0:06:10.00,Karel Schuller,M,NLD,08/08/2026,?,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
1160,71,3b 5km,0:21:20.00,Kacper Suchora,M,POL,26/12/2024,0,https://www.parkrun.pl/ogrodsaski/results/213/
1161,71,3b 5km,0:21:20.00,Jake Lodge,M,GBR,20/07/2024,0,https://www.parkrun.org.uk/listerpark/results/652/
1162,71,3b 800m,0:02:43.00,Bradley Fox,M,0,20/07/2013,?,IJA Database
1163,70,3b 5km,0:21:21.00,Jake Lodge,M,GBR,12/08/2023,?,https://www.parkrun.org.uk/penistone/results/132/ https://www.strava.com/activities/9631463241
1164,70,3b 800m,0:03:38.90,Heather Marriott,F,USA,02/08/2014,?,IJA Database
1165,69,3b 5km,0:30:07.00,Narelle Cabassi,F,AUS,18/11/2023,?,https://www.instagram.com/p/CzxZJMDvJpI/  https://www.parkrun.com.au/robelledomain/results/60
1166,68,3b 5km,0:21:23.00,Scott Jenkins,M,GBR,20/11/2021,?,
1167,68,3b 10km,0:46:29.00,Richard Ross,M,USA,18/06/2017,?,https://nycruns.com/race-results?race=the-running-of-the-balls-5k-10k-2&result=241746
1168,68,3b Marathon,3:48:25.00,Perry Romanowski,M,USA,24/04/2010,?,
1169,67,3b 5km,0:21:24.00,Eden Katsir,M,ISR,30/07/2023,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
1170,67,3b Mile,0:06:11.00,Tim Ebersole,M,USA,10/07/2023,?,https://www.strava.com/activities/9426849905
1171,67,3b 5km,0:21:24.00,Jordan Evans,M,GBR,21/10/2017,?,https://www.strava.com/activities/1239818353
1172,67,3b Half Marathon,1:43:27.00,Daniel Raum,M,AUT,04/09/2016,?,https://www.alphafoto.com/images.php?runID=797&sn=481      https://www.datasport.com/en/diploma/?racenr=18872&stnr=481
1173,67,3b Mile,0:06:11.00,Reese Edwards,M,0,19/07/1995,?,https://dev.juggle.org/history/champs/champs1995.php
1174,66,3b 800m,0:03:39.50,Heather Marriott,F,USA,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
1175,66,3b 5km,0:21:25.00,Kyle Barrett,M,0,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
1176,66,3b 5km,0:30:13.40,Kay Caskey,F,0,20/07/1991,?,http://www.juggling.org/orgs/ija/champs.txt
1177,65,3b 400m,0:01:11.78,Joe Kara,M,AUS,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
1178,65,3b 400m,0:01:11.79,Kevin Niittyviita,M,FIN,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
1179,65,3b 400m,0:01:11.91,Dominic Lodge,M,GBR,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
1180,65,3b 400m,0:01:11.67,Erik Toll,M,SWE,09/08/2025,?,EJC results in Joggler's United Group
1181,65,3b 5km,0:21:26.00,Kacper Suchora,M,POL,01/01/2025,1,https://www.parkrun.pl/ogrodsaski/results/215/
1182,65,3b 400m,0:01:11.40,Jared Janssen,M,0,22/07/2023,?,IJA Database
1183,65,3b 400m,0:01:11.40,Nathan Nard,M,0,22/07/2023,?,IJA Database
1184,65,3b Marathon,3:49:05.00,Perry Romanowski,M,USA,10/10/2021,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
1185,65,3b 5km,0:21:26.00,Jordan Evans,M,GBR,28/07/2018,?,https://www.strava.com/activities/1732580500
1186,65,3b Marathon,3:49:14.00,Perry Romanowski,M,USA,09/10/2016,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
1187,65,3b 400m,0:01:36.30,Heather Marriott,F,USA,02/08/2014,?,IJA Database
1188,65,3b 400m,0:01:11.90,Mark Fiore,M,USA,20/07/2013,?,IJA Database
1189,65,3b 400m,0:01:36.30,Maggie Armstrong,F,0,20/07/2011,?,IJA Database
